User,Score,Date,Num Epochs,Date (UTC)
CarloCDT,-121.28,,0.0,2023-03-06 22:44:18.141713
CarloCDT,-126.87,2023-03-03 22:41:59.576414,,
CarloCDT,-126.87,2023-03-06 20:43:37.310851,,
